4i7p,0,0,10,2.322,10,3.1529999999999996,11,3.5427272727272734,11,3.4481818181818187,14,4.6692857142857145,0,0,0,0,1.2066408264000001
1oif,0,0,9,2.231111111111111,9,3.0811111111111114,3,3.5700000000000003,3,3.706666666666667,0,0,0,0,0,0,2.9720238762999998
5k8s,0,0,14,2.2864285714285715,14,3.1200000000000006,1,3.62,1,2.78,2,4.925,4,1.0025,0,0,0.6340850522000014
2w47,0,0,5,2.4519999999999995,5,3.312,2,3.4050000000000002,2,3.91,1,3.52,0,0,0,0,0.412895175400001
5ha1,8,3.78,2,2.08,2,2.9050000000000002,0,0,0,0,0,0,0,0,0,0,0.7360948390000006
1o7o,4,3.8975,28,2.367857142857143,28,3.203928571428571,16,3.1412500000000003,16,3.4475000000000002,8,4.614999999999999,2,0.5800000000000001,0,0,-1.5972995240999994
4iie,13,3.714615384615385,62,2.601935483870967,62,3.3711290322580645,43,3.325813953488372,43,3.12,2,3.82,0,0,0,0,0.3414084527000001
4ryd,12,3.6275,47,2.351063829787234,47,3.1470212765957446,31,3.274516129032259,31,3.0470967741935486,6,4.208333333333333,0,0,0,0,3.9258921692
3ctt,1,3.78,28,2.5675,28,3.2746428571428567,5,3.336,5,3.4019999999999997,4,4.640000000000001,0,0,0,0,2.8049914856999996
6e9a,7,3.744285714285714,8,2.73,8,3.38375,4,3.1575,4,2.9299999999999997,2,5.175,0,0,0,0,4.536586971399999
1yqj,15,3.7060000000000004,6,2.5283333333333333,6,3.3633333333333333,0,0,0,0,1,5.0,0,0,1,1.65,-1.1360226057999991
1w11,2,3.59,16,2.46125,16,3.233125,5,3.4880000000000004,5,3.2979999999999996,3,4.763333333333333,0,0,0,0,2.9769034565000005
4i7k,24,3.6850000000000005,8,2.52625,8,3.2525,9,3.2711111111111117,9,3.1944444444444446,12,4.3225,0,0,0,0,-1.2056968415
3kdc,11,3.597272727272727,7,2.6000000000000005,7,3.3628571428571425,2,2.8,2,2.99,0,0,0,0,0,0,0.5420803279999991
3o8p,10,3.728999999999999,12,2.3600000000000003,12,3.19,4,3.705,4,2.8025,0,0,0,0,1,0.45,-0.34673585569999954
3ffg,6,3.685,6,2.35,6,3.141666666666667,3,3.2399999999999998,3,3.3033333333333332,0,0,4,1.1275,0,0,-0.9442337500999987
1adl,4,3.5725000000000002,3,2.4766666666666666,3,3.3366666666666664,4,3.5500000000000003,4,2.8800000000000003,1,4.63,0,0,0,0,1.2518765429000007
5cqt,10,3.7270000000000003,1,2.15,1,3.1,0,0,0,0,0,0,0,0,0,0,0.8494068468000009
4jz1,3,3.41,7,2.455714285714286,7,3.214285714285715,1,3.99,1,3.25,0,0,2,1.5,0,0,-0.6848139944999989
4uac,1,3.34,19,2.1910526315789474,19,2.961052631578948,15,3.3013333333333335,15,3.1839999999999997,0,0,0,0,0,0,-1.7125326644999985
1fl3,18,3.795555555555556,0,0,0,0,4,3.1,4,3.0124999999999997,0,0,5,1.512,0,0,2.9591456290999996
3bxg,0,0,16,2.4481249999999997,16,3.20125,14,3.4899999999999993,14,3.142142857142857,10,4.612999999999999,0,0,0,0,-0.3239079270999996
5nlk,8,3.7812500000000004,2,2.46,2,3.19,4,2.9825,4,3.535,0,0,0,0,0,0,0.3807506046000002
2j4g,12,3.578333333333333,18,2.5361111111111105,18,3.2816666666666667,3,3.716666666666667,3,3.2699999999999996,2,4.16,0,0,0,0,1.1613770271999995
1zog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.060851929200001
3m37,7,3.7728571428571427,4,2.4175,4,3.245,4,3.3274999999999997,4,3.6475,0,0,5,1.16,0,0,-0.008838748100000515
3cyz,7,3.3714285714285714,5,2.6419999999999995,5,3.386,3,3.0,3,3.1733333333333333,1,3.66,0,0,0,0,4.602511595399999
1ocq,0,0,14,2.347142857142857,14,3.185714285714286,7,3.4957142857142856,7,3.201428571428571,2,4.84,0,0,0,0,-1.1890305017999996
5dqc,43,3.736511627906976,42,2.5785714285714296,42,3.313571428571427,2,3.35,2,2.885,0,0,1,1.25,0,0,-1.1418436431999996
4djp,7,3.758571428571428,8,2.7274999999999996,8,3.37375,6,3.3699999999999997,6,2.973333333333333,3,4.946666666666666,0,0,0,0,4.225951908600001
2azr,4,3.53,4,2.3699999999999997,4,3.1975,4,2.6275,4,3.4275,3,4.1066666666666665,0,0,0,0,0.5001200174000004
4ovg,4,3.77,16,2.6225,16,3.3474999999999997,4,3.83,4,3.7,2,4.324999999999999,0,0,0,0,-0.5078292841000001
4trc,0,0,29,2.395172413793104,29,3.1606896551724133,3,3.47,3,2.86,4,4.1,2,0.38,0,0,1.4600484226999995
5d0r,6,3.5816666666666666,24,2.4995833333333333,24,3.260833333333334,2,2.825,2,3.42,0,0,1,1.31,2,1.685,0.7232052303000005
4rd0,0,0,19,2.472631578947368,19,3.2094736842105265,4,3.36,4,3.3674999999999997,3,3.81,0,0,2,1.79,-0.28999657789999933
4zvi,2,3.71,2,2.525,2,3.25,0,0,0,0,0,0,0,0,0,0,1.6548007541
2bz6,4,3.8775,7,2.434285714285714,7,3.2357142857142853,6,3.5116666666666667,6,3.143333333333333,4,4.5175,0,0,0,0,0.31756213670000033
5mmg,5,3.7119999999999997,3,2.483333333333333,3,3.216666666666667,0,0,0,0,0,0,0,0,0,0,0.0683275805000001
5cs3,1,3.55,0,0,0,0,1,3.72,1,3.09,3,4.526666666666666,0,0,0,0,-0.9534768739000001
5fsc,0,0,39,2.121794871794872,39,2.9484615384615385,12,3.2308333333333334,12,3.1650000000000005,0,0,0,0,0,0,-0.7212447920000002
1x1z,2,3.4850000000000003,30,2.3233333333333337,30,3.1376666666666666,17,3.2758823529411765,17,3.313529411764705,2,4.305,0,0,0,0,4.6290604109
1gfy,4,3.865,7,2.5285714285714285,7,3.2742857142857145,2,3.2199999999999998,2,3.31,2,3.25,0,0,0,0,0.4402576607000004
4cj4,11,3.7918181818181824,31,2.5274193548387096,31,3.2329032258064507,13,3.1538461538461537,13,3.1253846153846156,18,4.522222222222222,0,0,0,0,-2.0473689639
1ado,0,0,17,2.3382352941176467,17,3.1429411764705883,17,3.4323529411764717,17,3.445882352941177,7,3.8357142857142863,0,0,0,0,2.9157772386
3o84,14,3.7842857142857147,11,2.4690909090909092,11,3.2709090909090914,2,3.215,2,3.0149999999999997,0,0,2,1.37,0,0,0.3015000007000008
4baq,10,3.7960000000000003,10,2.4349999999999996,10,3.2290000000000005,2,3.33,2,3.7750000000000004,0,0,0,0,0,0,1.5951862644999997
3ocp,0,0,12,2.23,12,3.1133333333333333,1,3.54,1,3.03,2,4.955,0,0,0,0,1.5145339419000008
4o0x,6,3.74,3,1.93,3,2.856666666666667,0,0,0,0,0,0,0,0,0,0,-1.1345297706000004
3roc,12,3.780833333333334,4,2.4475,4,3.2874999999999996,1,3.43,1,3.48,0,0,2,1.15,0,0,1.1771681240999996
3imc,8,3.77125,19,2.5536842105263156,19,3.252105263157895,15,3.3646666666666665,15,3.4619999999999993,9,4.455555555555557,1,1.92,1,1.95,-1.6782753592999997
3s8l,1,3.16,6,2.2399999999999998,6,2.9633333333333334,4,3.3924999999999996,4,3.135,0,0,0,0,0,0,0.19196635049999955
1tnh,1,3.84,1,1.85,1,2.88,0,0,0,0,0,0,0,0,0,0,-0.32822724039999995
6dar,5,3.6159999999999997,8,2.08,8,2.92375,10,3.3470000000000004,10,3.472,2,4.6450000000000005,2,1.24,0,0,-0.41079959059999904
4djr,6,3.7166666666666663,10,2.919,10,3.5629999999999997,7,3.282857142857143,7,2.98,2,5.109999999999999,0,0,0,0,6.053262355499999
4q1x,7,3.8099999999999996,13,2.696153846153846,13,3.4292307692307693,3,3.0733333333333337,3,3.3000000000000003,2,5.15,0,0,0,0,4.126855254700001
3b4p,16,3.7643750000000002,7,2.395714285714285,7,3.285714285714285,8,3.09375,8,3.1525,4,4.35,0,0,0,0,-0.8961094572999988
