1hsh -21.744538431899997,0.08950044979999999,13.0,45.0,12.0,22.0,-0.012711381700000001,-4.6771283246,10.0,-93.41072899939999,34.55460000000001,47.4442,41.5575,25.7371,203.0608,336.5143,506.4751,221.72820000000002,0,1417.0718000000002
5k0h -24.632662641799996,-0.6133736776,14.5,38.0,13.5,18.0,-0.1426344654,-6.8731093657999995,12.0,-83.6908275852,53.82759999999999,10.2301,63.7588,38.998599999999996,135.7206,406.1071,84.258,198.3749,0,991.2757
5d25 0.1569155157,-0.11429241179999998,7.5,28.0,6.5,10.0,-0.0211685214,-3.4346549438,6.0,-39.5773233495,14.863399999999999,0.0,9.8898,31.9348,155.8484,149.7752,286.2335,61.4105,0,709.9556
1w0z -23.2462198438,-0.7404068107,13.0,29.0,12.0,10.0,-0.1717466835,-9.2268934456,14.0,-109.0718774089,44.1726,4.6574,92.1665,31.7332,203.1996,103.01520000000001,153.0686,199.3834,0,831.3965000000001
4n7m -5.5014390564,-0.0163641619,1.0,16.0,1.0,9.0,-0.0028019318,-0.0,1.0,-18.069658178199997,0.0913,0.0,23.6973,9.5914,54.519800000000004,199.6596,71.7303,78.6308,0,437.92049999999995
3o99 -19.1989687218,-0.5713226959,14.0,39.0,12.0,17.0,-0.1414462116,-5.705481304599999,10.0,-111.75972217430001,22.621100000000002,35.1571,67.7365,18.271299999999997,194.4827,214.41140000000001,371.0737,195.7322,0,1119.4859999999999
1msn -17.8400464686,-0.6122661077,10.0,41.0,9.0,22.0,-0.1408447498,-5.931293535999999,8.0,-97.50080860249999,3.439499999999999,43.8664,53.8828,24.4467,234.80519999999999,391.5816,435.8342,122.99340000000001,0,1310.8498000000002
5nih -25.767019596599997,-0.8761464701,2.0,15.0,2.0,1.0,-0.1771231652,-7.7434465951,2.0,-111.03322966889999,17.855,90.338,0.0,0.0,17.2674,0.0,8.8532,179.1878,0,313.5014
3gy4 -12.2659185532,-0.6397279733,2.0,10.0,2.0,5.0,-0.1502700963,-5.5843087566,4.0,-56.961586467,39.0406,5.8343,87.50739999999999,5.0658,55.4661,126.9161,10.415300000000002,58.2143,0,388.45989999999995
3fzy -69.3353573898,-1.6344064274,12.0,36.0,12.0,0.0,-0.3233737363,-19.1255903822,4.0,-223.42293173439998,115.3945,475.65250000000003,3.6247,2.7281,136.7321,2.4123,16.0903,75.2294,0,827.8639000000001
5g46 0.46529671640000003,-0.0321782063,1.0,13.0,1.0,8.0,-0.007510937600000001,-1.5933529920999998,1.0,-28.6713466006,0.0,0.0,0.06680000000000064,10.794699999999999,87.9366,172.1671,72.0087,49.7978,0,392.77169999999995
2r0h -22.2270428237,-0.6274053412999999,14.0,43.0,14.0,3.0,-0.1518617696,-14.2943558086,8.0,-128.5451200464,71.85379999999999,21.5276,133.56529999999998,41.9345,236.9031,9.1053,132.6957,200.3377,0,847.923
3djp -23.3581724225,-0.3103836284,5.0,21.0,5.0,1.0,-0.0754394465,-4.1308616471,4.0,-99.40461857199999,23.897100000000002,63.2885,37.7004,16.6524,164.2307,96.8509,22.776200000000003,105.755,0,531.1512
2wgj -16.884829776500002,0.1190894364,5.5,30.0,5.5,12.0,0.0141050127,-1.2931135304,6.0,-59.50157431819999,1.7188999999999979,0.0,36.9486,7.385,123.7591,302.1535,133.7501,178.6078,49.1475,833.4705
6gfz -11.038239665699999,-0.2615478642,7.5,34.0,6.5,13.0,-0.050390763,-3.5843895923999995,8.0,-82.1271515985,2.588800000000001,0.0,48.0684,21.2214,219.47990000000001,257.4072,182.4306,131.6337,10.520999999999999,873.3509999999999
